CSDP Network Summary Report for Elevation=0.0

Network path: D:\dsm2GisReference\csdpFiles\final\delta_2019Calib_navd88.cdn
DSM2 channels path: D:\delta\dsm2_v8.2beta_2_newGeomTest\common_input\channel_std_delta_grid_NAVD_20150129.inp
DSM2 output path: D:\delta\dsm2_v8.2beta_2_newGeomTest\studies\testGeom\output\historical_v82.hof

Channels.inp length: length specified for DSM2 in the DSM2 channels file above.
CSDP length: length calculated by the CSDP that will be used to replace the 'Channels.inp length'.
% change: the change in length CSDP vs Channels.inp
CSDP Average width
CSDP Volume: Channel volume calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Wetted Area: Wetted area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Surface Area: Surface area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using CSDP cross-sections
DSM2 Volume: Channel volume calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Wetted Area: Wetted area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Surface Area: Surface area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using virtual cross-sections
GIS 2m Volume: Channel volume calculated at specified elevation using CutFill operation with 2m DEM
GIS 2m Area: Channel 2D area calculated at specified elevation using CutFill operation with 2m DEM
GIS 10m Volume: Channel volume calculated at specified elevation using CutFill operation with 10m DEM
GIS 10m Area: Channel 2D area calculated at specified elevation using CutFill operation with 10m DEM
CSDP highest bottom elevation: The highest bottom elevation of all the cross-sections within the chanenl.
CSDP XS with no points: The indices of the cross-sections in the channel that have no points.
CSDP XS within 500.0 feet: The indices of the cross-sections in the channel that are within 500.0 feet of each other.
CSDP XS with Min area: The index of the cross-section in the channel that has the smallest area at the specified elevation
CSDP XS with Max area: The index of the cross-section in the channel that has the largest area at the specified elevation
CSDP XS with duplicate stations: The indices of the cross-sections in the channel that have duplicate station values.
CSDP XS with -dK: The indices of the cross-sections in the channel that have negative dConveyance at any elevation.
CSDP XS with -dK in intertidal zone: the indices of the cross-sections in the channel that have negative dConveyance in the intertidal zone.
(intertidal zone is assumed to be limited to the range -2.5 < Z < 17.5 ft NAVD88)

Channel	Channels.inp length	CSDP Length	% change	CSDP Average Width	CSDP Volume	CSDP Wetted Area	CSDP Surface Area	CSDP Max Area Ratio	DSM2 Volume	DSM2 Wetted Area	DSM2 Surface Area	DSM2 Max Area Ratio	GIS 2m Max Volume	GIS 2m Max Area	GIS 10m Max Volume	GIS 10m Max Area	DSM2-2m Vol	DSM2-10m Vol	2m Vol % diff	10m Vol % diff	CSDP Avg Width	2m Width Ratio	10m Width Ratio	2m Validity	10m Validity	Valid 2m Max Vol	Valid 10m Max Vol	DSM2-Valid 2m Max Vol	DSM2-Valid 10m Max Vol	Valid 2m Vol % diff	Valid 10m Vol % diff	CSDP Highest Bottom Elevation	CSDP XS with no points	CSDP XS within 500.0 feet	CSDP XS with Min area	CSDP XS with Max area	CSDP XS with duplicate stations	CSDP XS With -dk	CSDP XS with -dk in intertidal zone
1	19500.0	9395	-52	60	5315218.2	572217.3	565431.9	Infinity	0.0	0.0	0.0	-1.00	null	null	null	null					60.2											5.16			0	1			
2	14000.0	10891	-22	241	8245282.3	2087777.0	2079562.6	1.00	4787571.7	1211084.1	1206317.8	2.92	null	null	null	null					240.7											-7.10			0	0			
3	13000.0	12359	-5	0	0.0	0.0	0.0	NaN	1352214.7	377256.7	375892.4	Infinity	null	null	null	null					0.0											1.87			0	0			
4	14050.0	13594	-3	125	3449956.6	1697052.6	1694959.4	25.07	3463459.2	1680592.4	1678505.6	3.95	null	null	null	null					124.7											-0.81			0	1			
5	12350.0	11901	-4	90	1901835.0	1076716.1	1075471.2	Infinity	2117200.7	1252868.7	1251228.1	6.15	null	null	1466654.8	288472.5		650545.9		44.4	90.4		2.8		false							0.21			1	0			
6	9878.0	8604	-13	209	8439561.0	1813805.3	1801459.8	7.17	7857330.6	1608369.5	1596467.3	1.58	5813518.8	688803.5	5807270.2	684584.0	2043811.8	2050060.4	35.2	35.3	209.4	31.9	6.4	false	true		5807270.2		2050060.4		35.3	-1.88			0	2			
7	8796.0	8796	-0	203	11835416.0	1808814.4	1783916.7	2.05	13078613.8	1833232.9	1809006.3	1.52	12945625.6	2064300.7	12961233.7	2051599.3	132988.2	117380.0	1.0	0.9	202.8	30.9	6.2	true	true	12945625.6	12961233.7	132988.2	117380.0	1.0	0.9	-9.47			0	2			
8	11625.0	11624	-0	142	7145742.6	1669277.8	1646271.4	2.23	8036485.6	1643020.8	1616487.0	2.45	9334753.5	1741211.5	9283464.6	1728682.3	-1298268.0	-1246979.1	-13.9	-13.4	141.6	21.6	4.3	true	true	9334753.5	9283464.6	-1298268.0	-1246979.1	-13.9	-13.4	-5.95			1	3			
9	10497.0	10498	0	165	7641738.9	1752630.2	1735265.8	2.01	7601360.3	1761593.0	1744552.4	1.41	8418384.0	1731696.2	8438914.0	1723300.4	-817023.7	-837553.7	-9.7	-9.9	165.3	25.2	5.0	true	true	8418384.0	8438914.0	-817023.7	-837553.7	-9.7	-9.9	-4.00			1	0			
10	9400.0	9400	0	165	8861975.0	1567057.3	1548305.3	1.30	8431614.3	1530974.1	1512008.2	1.22	11033658.2	1539022.4	11022062.9	1547848.8	-2602043.9	-2590448.6	-23.6	-23.5	164.7	25.1	5.0	true	true	11033658.2	11022062.9	-2602043.9	-2590448.6	-23.6	-23.5	-6.85			2	1			
11	12748.0	12748	0	173	14223948.5	2238167.4	2203913.1	1.40	14162661.8	2237204.0	2203274.7	1.29	16355626.8	2172671.7	16351306.1	2181842.5	-2192965.0	-2188644.3	-13.4	-13.4	172.9	26.3	5.3	true	true	16355626.8	16351306.1	-2192965.0	-2188644.3	-13.4	-13.4	-5.87			0	3			
12	8214.0	11215	37	176	16063693.5	2016037.4	1969391.5	1.24	16391923.1	2137375.4	2091946.0	1.16	17045107.8	1985250.7	17059483.2	1985939.5	-653184.7	-667560.1	-3.8	-3.9	175.6	26.8	5.4	true	true	17045107.8	17059483.2	-653184.7	-667560.1	-3.8	-3.9	-10.39			0	3			
13	7706.0	3706	-52	220	6394401.1	827383.8	814811.6	1.05	6471713.1	796060.6	782371.1	1.11	6974540.5	846774.5	6991510.8	852500.9	-502827.5	-519797.7	-7.2	-7.4	219.9	33.5	6.7	true	true	6974540.5	6991510.8	-502827.5	-519797.7	-7.2	-7.4	-9.27			0	2			
14	5339.0	4739	-11	219	9822303.9	1064658.1	1038906.5	1.05	9712735.3	1109696.7	1086935.0	1.00	10107657.6	1043667.7	10094508.5	1040869.1	-394922.3	-381773.2	-3.9	-3.8	219.2	33.4	6.7	true	true	10107657.6	10094508.5	-394922.3	-381773.2	-3.9	-3.8	-14.12			2	1			
15	5388.0	3688	-32	235	7637273.4	879661.9	865836.9	1.10	7555472.9	866535.9	851858.7	1.09	8034633.2	878721.7	8169718.9	904167.6	-479160.4	-614246.0	-6.0	-7.5	234.8	35.8	7.2	false	true		8169718.9		-614246.0		-7.5	-10.86			1	2			
16	5384.0	4249	-21	235	12022576.2	1046714.8	999984.4	1.10	12067469.9	1039129.4	990734.3	1.10	243839.8	23293.1	19280758.8	1228161.0	11823630.2	-7213288.9	4848.9	-37.4	235.3	35.9	7.2	false	true		19280758.8		-7213288.9		-37.4	-14.11			1	0		0	
17	13150.0	14313	9	0	0.0	0.0	0.0	NaN	20324982.0	1750183.5	1668672.6	1.10	null	null	null	null					0.0											6.86			0	0			
18	3765.0	3765	-0	565	50659438.1	2166797.0	2128303.1	1.02	51856866.3	2199716.0	2156251.6	1.08	null	null	48803220.3	1945036.7		3053646.0		6.3	565.3		17.2		true		48803220.3		3053646.0		6.3	-38.75			1	0	1		
19	3666.0	3666	-0	567	54146989.7	2116177.6	2078410.7	1.11	53925925.0	2384155.3	2175757.5	1.01	null	null	45916914.5	1988092.3		8009010.5		17.4	567.0		17.3		true		45916914.5		8009010.5		17.4	-34.94			1	0			
20	4107.0	4107	0	959	64544644.5	2781129.9	2744132.4	1.00	63234814.7	2813459.9	2691287.1	1.01	null	null	59695439.1	2435870.6		3539375.6		5.9	958.5		29.2		true		59695439.1		3539375.6		5.9	-35.05			0	0			
21	5947.0	5947	-0	468	69784680.0	2841798.7	2782977.2	1.14	71043378.9	3022865.5	2963203.5	1.13	null	null	77591799.1	3140906.0		-6548420.2		-8.4	468.0		14.3		true		77591799.1		-6548420.2		-8.4	-33.49			2	1			
22	6803.0	6803	-0	459	76735634.2	3190959.7	3124184.2	1.03	75938782.5	3177418.5	3150611.9	1.01	null	null	80599410.7	3511184.2		-4660628.3		-5.8	459.2		14.0		true		80599410.7		-4660628.3		-5.8	-34.76			1	0			
23	3425.0	3425	-0	773	38541319.4	1632777.8	1601881.3	1.00	38530086.7	1636868.0	1613534.4	1.00	null	null	45354422.0	1995627.1		-6824335.3		-15.0	773.3		23.6		true		45354422.0		-6824335.3		-15.0	-34.47			0	0			
24	7742.0	5850	-24	562	77455502.0	3344839.9	3287692.2	1.02	78177591.9	3773469.1	3381414.7	1.03	null	null	95670029.6	5384102.8		-17492437.7		-18.3	562.0		17.1		true		95670029.6		-17492437.7		-18.3	-35.94			1	0		1	1
25	3317.0	3315	-0	975	47455376.1	2256360.3	2227436.8	1.00	46776326.8	2284825.6	2172401.1	1.00	24320400.6	1164266.5	51400757.8	2433717.8	22455926.3	-4624430.9	92.3	-9.0	974.8	148.6	29.7	false	true		51400757.8		-4624430.9		-9.0	-37.19			0	0			
26	4000.0	3517	-12	195	5919299.0	703522.2	684750.4	1.59	6225371.3	726906.9	704442.2	1.42	15701.8	4090.3	5660875.8	755625.8	6209669.5	564495.5	39547.6	10.0	194.7	29.7	5.9	false	true		5660875.8		564495.5		10.0	-10.29			2	1			
27	4700.0	3090	-34	354	12287323.4	1103688.0	1092715.5	1.30	11656765.1	1060615.1	1050738.7	1.04	7956453.2	691903.5	12673810.2	1215244.3	3700311.9	-1017045.1	46.5	-8.0	353.6	53.9	10.8	false	true		12673810.2		-1017045.1		-8.0	-18.94			1	0			
28	5000.0	5809	16	270	18576540.9	1610030.0	1568980.8	4.89	20237641.8	1719494.2	1685399.5	3.52	null	null	17432925.1	1943960.3		2804716.7		16.1	270.1		8.2		true		17432925.1		2804716.7		16.1	-12.65			0	3			
29	3800.0	3437	-10	488	15732770.3	1684744.2	1678231.2	1.35	15900488.4	1671162.4	1664393.1	1.15	null	null	14104867.7	1468196.0		1795620.6		12.7	488.3		14.9		true		14104867.7		1795620.6		12.7	-12.11			2	0			
30	7358.0	7324	-0	693	109988786.2	5148220.3	5075806.5	1.09	110158799.1	5177881.6	5107905.2	1.03	51978635.4	2620493.0	106519694.1	5017053.8	58180163.7	3639104.9	111.9	3.4	693.1	105.6	21.1	false	true		106519694.1		3639104.9		3.4	-35.42			1	0		0	
31	6525.0	6505	-0	674	100434809.9	4457951.5	4386032.0	1.16	100330977.2	4556155.0	4480663.7	1.07	25061896.4	1116044.2	110061405.5	5436845.9	75269080.8	-9730428.3	300.3	-8.8	674.2	102.8	20.6	false	true		110061405.5		-9730428.3		-8.8	-34.27		3,4	0	1		0,1,2	
32	6098.0	6158	1	442	39180237.7	2762688.2	2724048.6	1.30	39052595.1	2748002.0	2709358.2	1.08	38848879.2	2664280.5	38705229.1	2651148.6	203715.9	347366.0	0.5	0.9	442.4	67.4	13.5	true	true	38848879.2	38705229.1	203715.9	347366.0	0.5	0.9	-24.96			0	1			
