datetime,CACHE_YOLO,COLUMB_TRNR,DIVERSION_AG,DUT_FAL_FISH,EXPORT_CCF,EXPORT_CVP,EXPORT_IF,EXPORT_SWP,MIDR_MOUTH,OLDR_HEAD,OLDR_MOUTH,PAST_CHIPPS,PAST_MTZ,SAC_TO_3MI,SAC_TO_DCC,SAC_TO_GEO,SAC_TO_STM,SAC_TO_SUT,STMBT_N_TO_S,TO_NBA,TO_SUISUN
20Apr2017  0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21Apr2017  0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21Apr2017  0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
21Apr2017  0900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0
21Apr2017  1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0
21Apr2017  1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0,0
21Apr2017  1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,0,0
21Apr2017  1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,0,0
21Apr2017  1400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,0,0
21Apr2017  1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,0,0
21Apr2017  1600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,0,0
21Apr2017  1700,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,7,0,0
