dates,oldSurv,newSurv
1999-02-07,0.5907665,0.5922734
1999-02-21,0.6424206,0.64011526
1999-03-07,0.5437682,0.55684125
1999-03-21,0.38645738,0.37923378
1999-04-04,0.46366864,0.46303338
1999-04-18,0.48249626,0.48747066
1999-05-02,0.3865246,0.3818609
1999-05-16,0.3415637,0.33746678
1999-05-30,0.3032162,0.30491334
1999-06-13,0.3124953,0.3136847
1999-06-27,0.4085985,0.41427973
1999-07-11,0.40072528,0.405961
1999-07-25,0.32925472,0.32502252
1999-08-08,0.32253754,0.32038608
1999-08-22,0.38788423,0.3857922
1999-09-05,0.36190256,0.35417768
1999-09-19,0.32105944,0.32458857
1999-10-03,0.27134785,0.2693404
1999-10-17,0.2607259,0.2584702
1999-10-31,0.35550433,0.35347053
1999-11-14,0.45831472,0.4550867
1999-11-28,0.4413395,0.45092985
1999-12-12,0.305421,0.30182704
1999-12-26,0.343183,0.34767738
2000-01-09,0.5523803,0.5483161
2000-01-23,0.5425525,0.5551575
2000-02-06,0.6308661,0.6316656
2000-02-20,0.6813226,0.6809685
2000-03-05,0.67199105,0.6693587
2000-03-19,0.41589746,0.42035696
2000-04-02,0.5294276,0.52936727
2000-04-16,0.4880863,0.48552924
2000-04-30,0.41531357,0.41346183
2000-05-14,0.31786066,0.31700465
2000-05-28,0.38361242,0.37893006
2000-06-11,0.35974085,0.36029884
2000-06-25,0.3936144,0.3878696
2000-07-09,0.34557116,0.35047042
2000-07-23,0.33689043,0.34387904
2000-08-06,0.39403087,0.3946146
2000-08-20,0.40099445,0.393146
2000-09-03,0.3314824,0.33359402
2000-09-17,0.3178327,0.31599015
2000-10-01,0.40958673,0.41154516
2000-10-15,0.41628027,0.4176183
2000-10-29,0.37877902,0.3777759
2000-11-12,0.38950312,0.38755992
2000-11-26,0.3251778,0.32279462
2000-12-10,0.34189603,0.3395114
2000-12-24,0.42711866,0.42871368
2001-01-07,0.47740948,0.475192
2001-01-21,0.46470803,0.46151084
2001-02-04,0.49315012,0.4959564
2001-02-18,0.61365664,0.6117669
2001-03-04,0.48427418,0.48329598
2001-03-18,0.45638072,0.45106578
2001-04-01,0.41302675,0.41227207
2001-04-15,0.31875247,0.31831688
2001-04-29,0.36878708,0.36881083
2001-05-13,0.40035698,0.40757892
2001-05-27,0.26999944,0.26607087
2001-06-10,0.32697442,0.32622394
2001-06-24,0.28877738,0.28948754
2001-07-08,0.3134869,0.312247
2001-07-22,0.37793723,0.38028395
2001-08-05,0.33681476,0.34202254
2001-08-19,0.3286341,0.3286275
2001-09-02,0.37736863,0.37894192
2001-09-16,0.32213402,0.32822534
2001-09-30,0.32126272,0.32371137
2001-10-14,0.30840802,0.3058586
2001-10-28,0.32273614,0.32049498
2001-11-11,0.4189462,0.41973132
2001-11-25,0.47977638,0.46592557
2001-12-09,0.5213911,0.51987135
2001-12-23,0.6044415,0.603138
2002-01-06,0.46399793,0.465786
2002-01-20,0.3921302,0.4026846
2002-02-03,0.39778483,0.39424732
2002-02-17,0.4020574,0.3922079
2002-03-03,0.281844,0.2818112
2002-03-17,0.4086573,0.41389075
2002-03-31,0.38302284,0.38958597
2002-04-14,0.30203074,0.3013573
2002-04-28,0.4241375,0.42125407
2002-05-12,0.30263528,0.29786202
2002-05-26,0.22150025,0.2152081
2002-06-09,0.26962602,0.26571152
2002-06-23,0.30343515,0.3039481
2002-07-07,0.3455537,0.35621473
2002-07-21,0.29129803,0.29282907
2002-08-04,0.35670498,0.35742286
2002-08-18,0.26860517,0.265838
2002-09-01,0.31806314,0.3160668
2002-09-15,0.3278208,0.32881513
2002-09-29,0.28900754,0.28951937
2002-10-13,0.32991916,0.3277348
2002-10-27,0.31319183,0.30999798
2002-11-10,0.29506597,0.2919552
2002-11-24,0.36655122,0.36037868
2002-12-08,0.5644002,0.5649712
2002-12-22,0.56692207,0.5750126
2003-01-05,0.5211813,0.5211908
2003-01-19,0.5545803,0.5517305
2003-02-02,0.5608974,0.55901706
2003-02-16,0.43261462,0.43845254
2003-03-02,0.59015286,0.597114
2003-03-16,0.3426103,0.33921853
2003-03-30,0.4368792,0.43441984
2003-04-13,0.59848535,0.59924746
