junction,parameter,fromState,toU,toD,toT
HOR,logBaseline,fromU,0,0.0429722555362937,0.0156619264153396
HOR,logBaseline,fromD,5.05451875673997e-05,0,3.73053192086138e-05
HOR,logBaseline,fromT,2.16255218203867e-05,4.18201944349206e-06,0
HOR,yes_11,fromU,0,0.746295448915393,0.0691009849449638
HOR,yes_11,fromD,0,0,0
HOR,yes_11,fromT,0,0,0
HOR,barrier_2Open,fromU,0,1.05840702976211,11.1360658848197
HOR,barrier_2Open,fromD,0,0,0
HOR,barrier_2Open,fromT,0,0,0
HOR,s_g_cfs_3_new,fromU,0,0,5.1331736549638
HOR,s_g_cfs_3_new,fromD,0,0,0
HOR,s_g_cfs_3_new,fromT,0,0,0
HOR,s_t_cfs_3_new,fromU,0,0,1.00582358023204
HOR,s_t_cfs_3_new,fromD,0,0,0
HOR,s_t_cfs_3_new,fromT,0,0,0
HOR,day2_day,fromU,0,0.868189468818271,1.13642085122475
HOR,day2_day,fromD,0,0,0
HOR,day2_day,fromT,0,0,0
HOR,s_g_cfs_2_new,fromU,0,2.33548725215871,0
HOR,s_g_cfs_2_new,fromD,0,0,0
HOR,s_g_cfs_2_new,fromT,0,0,0
HOR,s_t_cfs_2_new,fromU,0,1.57546895113164,0
HOR,s_t_cfs_2_new,fromD,0,0,0
HOR,s_t_cfs_2_new,fromT,0,0,0
TC,logBaseline,fromU,0,-5.195399833,-7.554591557
TC,logBaseline,fromD,-7.772640223,0,-8.889707199
TC,logBaseline,fromT,-8.008870698,-9.465103598,0
TC,s_g_l_cfs_3_new,fromU,0,0,-0.05287349
TC,s_g_l_cfs_3_new,fromD,0,0,0
TC,s_g_l_cfs_3_new,fromT,0,0,0
TC,s_t_l_cfs_3_new,fromU,0,0,-0.614705754
TC,s_t_l_cfs_3_new,fromD,0,0,0
TC,s_t_l_cfs_3_new,fromT,0,0,0
TC,s_g_l_cfs_2_new,fromU,0,0.176471143,0
TC,s_g_l_cfs_2_new,fromD,0,0,0
TC,s_g_l_cfs_2_new,fromT,0,0,0
TC,s_t_l_cfs_2_new,fromU,0,1.447624616,0
TC,s_t_l_cfs_2_new,fromD,0,0,0
TC,s_t_l_cfs_2_new,fromT,0,0,0
TC,s_g_l_cfs_1_new,fromU,0,0,0
TC,s_g_l_cfs_1_new,fromD,-1.031140574,0,0
TC,s_g_l_cfs_1_new,fromT,0,0,0
TC,s_t_l_cfs_1_new,fromU,0,0,0
TC,s_t_l_cfs_1_new,fromD,-1.039023497,0,0
TC,s_t_l_cfs_1_new,fromT,0,0,0
