NODE_LIST
ID	X	Y
1	51.2741	1.9061
2	50.8245	3.6872
3	50.5667	4.5337
4	49.3063	4.8239
5	48.9349	6.739
6	49.1946	8.3161
7	48.5741	9.4727
8	47.6452	10.2909
9	48.4075	11.4574
10	47.9265	12.8197
11	47.7475	14.2276
12	47.5873	15.9985
13	48.1507	17.9868
14	47.7646	18.4665
15	47.4338	19.0598
16	46.6709	19.4408
17	47.2675	20.173
18	46.6223	20.3492
19	45.8909	20.7188
20	45.3816	21.2037
21	44.5139	22.1166
22	43.6416	22.7492
23	43.045	23.0305
24	41.7941	23.1293
25	41.0456	23.5319
26	41.3167	24.175
27	40.357	23.9312
28	40.5258	24.4629
29	39.7137	25.4919
30	38.611	25.6505
31	38.8579	26.1634
32	38.1239	26.8783
33	37.2045	27.3484
34	36.3638	27.4728
35	36.3045	28.2766
36	35.2173	27.4668
37	34.5064	28.3034
38	34.2352	28.951
39	34.1205	29.7635
40	31.9728	30.341
41	30.09	29.2781
42	28.2248	29.0857
43	28.317	27.4668
44	25.5262	25.3227
45	21.8028	24.68
46	20.0003	25.0033
47	47.146	10.6165
48	46.9353	11.213
49	46.4432	11.179
50	45.7807	11.0142
51	44.9597	11.2799
52	44.5652	10.9629
53	44.1607	10.4986
54	43.0586	10.281
55	42.5263	10.6388
56	42.4803	10.2535
57	42.3479	9.8169
58	41.6713	9.5625
59	41.2206	10.0141
60	40.1412	9.9766
61	39.7403	9.6431
62	39.2956	9.1663
63	38.9141	8.6958
64	38.2325	8.6473
65	37.4453	9.1641
66	36.8147	9.6939
67	36.1432	10.2586
68	35.4839	10.683
69	34.7975	11.0779
70	35.1356	11.4034
71	35.0942	11.9751
72	34.8898	12.5276
73	34.7034	13.1648
74	34.512	13.7727
75	26.4923	24.2017
76	33.9646	14.4537
77	33.6641	15.0266
78	33.898	15.7275
79	34.3239	16.3665
80	34.0968	17.0945
81	34.5975	17.6362
82	34.9274	18.3366
83	34.8345	18.9359
84	34.7106	19.5761
85	34.6451	19.9865
86	34.586	20.4191
87	33.9589	20.6136
88	34.5248	20.8254
89	34.1473	21.2005
90	34.0384	21.7351
91	33.6483	22.3773
92	33.7712	23.4959
93	34.434	23.8191
94	33.8258	23.9741
95	35.0553	24.8501
96	34.0384	26.6496
97	33.7475	25.8762
98	33.7198	27.9179
99	44.3976	11.7528
100	44.6661	12.7654
101	44.9137	13.909
102	44.6216	15.0068
103	43.7749	15.7404
104	42.7155	15.8623
105	41.7403	16.1355
106	40.8429	15.5532
107	39.8236	15.5282
108	38.6921	15.9829
109	38.4926	16.3962
110	38.2715	16.8907
111	37.711	17.2401
112	37.1346	17.6847
113	37.1168	18.1388
114	36.4441	18.4332
115	36.5716	18.9668
116	36.245	19.5481
117	36.2787	20.1298
118	36.7493	20.1919
119	36.5036	20.8685
120	36.3082	21.5518
121	36.3179	22.1419
122	36.4278	22.7847
123	36.6446	23.3776
124	37.0339	23.7016
125	37.5444	23.8577
126	37.6365	24.3081
127	37.2304	24.4321
128	37.2215	25.1315
129	36.6408	26.6028
130	37.3346	22.2822
131	37.4744	22.894
132	37.8054	23.243
133	45.307	19.6221
134	44.7606	20.7098
135	40.3914	22.8403
136	39.7169	22.4715
137	39.5743	21.6496
138	38.5804	21.6777
139	37.6675	21.7304
140	36.9644	21.6998
141	40.7857	20.415
142	39.8771	21.1136
143	42.3738	9.2745
144	45.8364	7.7065
145	45.2559	7.6856
146	44.8545	7.5548
147	44.4476	7.7433
148	44.2148	8.1139
149	43.808	7.9776
150	43.4325	8.5065
151	43.0263	8.3277
152	42.8611	8.6927
153	48.4821	7.2625
154	47.4254	8.2017
155	46.4871	9.1473
156	45.3176	10.0413
157	45.1324	9.7217
158	44.1071	10.1077
159	42.8178	9.9606
160	41.9623	11.1673
161	40.8154	11.2008
162	40.0241	11.2118
163	39.262	11.2396
164	38.5421	11.2309
165	37.7457	11.2406
166	36.8937	11.2412
167	36.1323	11.2238
168	33.992	11.0867
169	35.633	12.2538
170	35.9665	13.0009
171	36.0808	13.3883
172	35.7127	13.3666
173	35.737	13.8896
174	35.361	13.7295
175	37.9955	15.6047
176	37.2478	15.2371
177	36.5874	14.9401
178	35.87	14.5601
179	35.1038	14.1224
180	36.2184	17.694
181	35.3198	17.714
182	33.8275	18.0913
183	33.1929	18.2304
184	32.2111	18.0317
185	32.1218	18.7413
186	31.976	19.5185
187	32.3146	20.2603
188	32.5751	20.9798
189	33.0651	21.5045
190	32.4946	21.7961
191	31.5006	21.7946
192	36.0266	24.1242
193	35.3994	24.3155
194	32.9144	12.9084
195	33.2623	13.4093
196	33.6279	14.0662
197	35.4697	19.5638
198	31.4627	23.022
199	32.4904	24.6181
200	31.9385	24.2012
201	31.2205	23.9817
202	31.6768	25.9123
203	29.8138	26.5039
204	28.6741	25.99
205	30.2981	24.3266
206	28.1474	24.285
207	32.4653	27.7998
208	31.0432	26.8363
209	29.9848	27.07
210	12.1595	28.0999
211	9.4407	32.2771
212	33.4894	26.7665
213	10.6019	29.1782
214	31.0984	31.3803
215	28.2222	30.9079
216	44.6022	24.4358
217	42.6241	26.5003
218	40.4733	27.2305
219	39.2891	26.3341
220	38.0774	28.5544
221	42.812	29.3745
222	40.4883	28.3412
223	39.7669	29.4491
224	38.7116	30.8474
225	38.623	29.969
226	37.2483	29.6066
227	35.5901	29.6414
228	38.0978	41.6053
229	38.003	40.6655
230	37.9975	40.019
231	37.9953	39.5153
232	41.3457	40.8127
233	39.2001	40.9446
234	38.8076	40.0179
235	38.3191	39.0148
236	38.1992	38.0521
237	39.0404	36.7358
238	38.4229	35.8078
239	38.2962	34.7038
240	38.0353	33.9867
241	38.0416	33.3173
242	37.9807	32.526
243	38.5117	31.8349
244	37.0644	32.0391
245	35.3137	31.6638
246	34.3321	32.7254
247	33.678	30.9556
248	40.3793	37.3425
249	39.7349	34.9193
250	40.1931	33.207
251	37.5516	38.7673
252	37.6257	37.9573
253	37.2408	37.3184
