VERTCON  Version 2.10
     37.69117086    121.27128188  0.724                           1,0.24        
     37.70683043    121.27188085  0.722                          1,0.953        
     37.71257171    121.26740642  0.721                          2,0.189        
     37.72107871    121.26747987  0.720                          2,0.726        
     37.71295940    121.28242739  0.722                          3,0.383        
     37.72183460    121.29346248  0.722                          3,0.822        
     37.71880867    121.27763937  0.721                            3,1.0        
     37.72516857    121.29851719  0.721                            4,0.0        
     37.73230412    121.29579978  0.720                          4,0.234        
     37.73992387    121.29634853  0.720                           4,0.48        
     37.75497911    121.30418941  0.718                          5,0.087        
     37.77754179    121.30328482  0.716                          5,0.931        
     37.78201172    121.30295072  0.715                          6,0.166        
     37.78559635    121.30666064  0.714                          6,0.362        
     37.79831883    121.31307101  0.712                          7,0.216        
     37.80521495    121.32334721  0.710                          7,0.827        
     37.80934185    121.32611895  0.709                          8,0.047        
     37.81169401    121.31885499  0.709                          8,0.254        
     37.82270257    121.31628161  0.707                          8,0.913        
     37.83356093    121.31387187  0.704                          9,0.419        
     37.84565496    121.32227866  0.700                          9,0.946        
     37.85262513    121.32332990  0.697                         10,0.293        
     37.85768066    121.31879855  0.693                         10,0.636        
     37.87038542    121.32922760  0.681                         11,0.257        
     37.88027141    121.33250904  0.674                         11,0.583        
     37.89113925    121.32833327  0.665                          11,0.92        
     37.89701556    121.32741763  0.660                         12,0.121        
     37.91117066    121.32455280  0.647                         12,0.633        
     37.92567923    121.32480978  0.634                         13,0.657        
     37.93318161    121.32832836  0.628                         14,0.362        
     37.93899329    121.34107019  0.628                         15,0.476        
     37.94672181    121.33894417  0.621                         16,0.579        
     37.94887428    121.33644147  0.618                         16,0.843        
     37.66959686    121.25623398  0.726                         17,0.068        
     37.67565871    121.26483384  0.726                         17,0.352        
     37.68720360    121.26824611  0.724                         17,0.888        
     37.95214109    121.33804956  0.617                         18,0.178        
     37.95395420    121.34526208  0.620                         18,0.761        
     37.95545404    121.35063740  0.622                         19,0.206        
     37.95767660    121.35634549  0.625                         19,0.706        
     37.96317757    121.36483496  0.629                         20,0.565        
     37.97331357    121.37652235  0.633                         21,0.532        
     37.98163963    121.38661102  0.638                         22,0.216        
     37.98690349    121.39408992  0.641                         22,0.646        
     37.99099343    121.40496438  0.646                         23,0.347        
     37.99560216    121.41670030  0.651                         24,0.199        
     37.99400938    121.42859455  0.657                         24,0.793        
     37.99514162    121.43986459  0.662                         25,0.549        
     38.00121915    121.44566910  0.665                         26,0.139        
     38.00431899    121.44390434  0.665                          26,0.49        
     38.00783133    121.44165941  0.665                         26,0.896        
     38.00310960    121.45884698  0.671                          27,0.14        
     38.00152234    121.45511704  0.669                          27,0.53        
     38.00063259    121.45283923  0.668                         27,0.763        
     38.00993599    121.44460232  0.667                         28,0.119        
     38.00968143    121.44965601  0.670                         28,0.368        
     38.01221213    121.45472115  0.672                         28,0.663        
     38.01625424    121.45765229  0.674                         28,0.969        
     38.01076416    121.45939808  0.673                         29,0.194        
     38.00805919    121.46102357  0.673                          29,0.51        
     38.00426229    121.46097033  0.672                         29,0.937        
     38.00782279    121.45442204  0.671                         30,0.669        
     38.01527123    121.45998354  0.675                         31,0.128        
     38.01805726    121.46234221  0.676                         31,0.316        
     38.02159404    121.46497985  0.678                         31,0.545        
     38.02508472    121.46829948  0.680                         31,0.797        
     38.02577388    121.46953941  0.681                         31,0.864        
     38.02662114    121.47522916  0.683                         32,0.124        
     38.02481446    121.47942008  0.683                         32,0.346        
     38.02683430    121.48671870  0.686                         32,0.718        
     38.03834872    121.49598550  0.691                         33,0.507        
     38.03337494    121.48237911  0.687                         34,0.635        
     38.03517689    121.49550685  0.691                         35,0.106        
     38.03736255    121.49908857  0.692                         35,0.318        
     38.03974219    121.50410602  0.694                         35,0.598        
     38.04376014    121.50469464  0.695                         35,0.852        
     38.03773379    121.48980133  0.690                         36,0.075        
     38.04040537    121.49420436  0.691                         36,0.367        
     38.04172864    121.49650594  0.692                         36,0.516        
     38.04387888    121.49979036  0.694                         36,0.739        
     38.04626857    121.50268801  0.695                          36,0.96        
     38.04807000    121.50426324  0.696                         37,0.102        
     38.05418985    121.51506741  0.699                         37,0.857        
     38.05463330    121.52212929  0.701                         38,0.262        
     38.05539633    121.52886230  0.702                         38,0.671        
     38.05870001    121.53286073  0.704                         39,0.178        
     38.06782661    121.53363391  0.706                         40,0.014        
     38.06147670    121.54507779  0.706                         40,0.759        
     38.05633927    121.53705756  0.704                         41,0.126        
     38.05708648    121.54358051  0.705                         41,0.425        
     38.06022355    121.55772190  0.708                         42,0.069        
     38.06194339    121.55740988  0.708                         42,0.155        
     38.06919021    121.55835534  0.710                         42,0.449        
     38.07180267    121.56138549  0.711                         42,0.591        
     38.07411801    121.56585258  0.712                         42,0.764        
     38.07686429    121.56827649  0.713                         42,0.893        
     38.07867292    121.57243698  0.714                         43,0.117        
     38.08298386    121.57275687  0.715                         43,0.937        
     38.08654260    121.57389628  0.716                          44,0.24        
     38.09206264    121.57515271  0.717                         44,0.805        
     38.09711039    121.57789961  0.718                         45,0.111        
     38.09858665    121.58595150  0.719                         45,0.307        
     38.10103243    121.59461716  0.720                         45,0.518        
     38.10423589    121.60260448  0.722                         45,0.721        
