NODE_LIST
ID	X	Y
1	652177.000000	4172381.000000
2	652394.000000	4174805.000000
3	651800.000000	4176015.000000
4	649947.000000	4176686.000000
5	649395.000000	4179703.000000
6	649615.000000	4182599.000000
7	648454.000000	4184159.000000
8	647230.000000	4185861.000000
9	648348.000000	4187715.000000
10	647485.000000	4190137.000000
11	647507.000000	4192081.000000
12	646971.000000	4195320.000000
13	647679.000000	4198336.000000
14	646959.000000	4199192.000000
15	646255.000000	4200257.000000
16	645377.000000	4200699.000000
393	654181.000000	4170564.000000
17	646218.000000	4201731.000000
18	645123.000000	4202094.000000
19	644125.000000	4202520.000000
20	643257.000000	4203387.000000
21	641997.000000	4204690.000000
22	640366.000000	4205859.000000
23	639160.000000	4206441.000000
24	637558.000000	4206256.000000
25	636382.000000	4206792.000000
26	636770.000000	4208006.000000
27	635169.000000	4207343.000000
28	635291.000000	4208482.000000
29	634003.000000	4210042.000000
30	632198.000000	4210495.000000
31	632519.000000	4211095.000000
32	631409.000000	4211969.000000
33	630017.000000	4212821.000000
34	628601.000000	4213038.000000
35	628651.000000	4214349.000000
36	626893.000000	4213361.000000
37	625321.000000	4215391.000000
38	625257.000000	4216054.000000
39	625069.000000	4217282.000000
40	621477.000000	4218232.000000
41	618888.000000	4216498.000000
42	615588.000000	4215987.000000
43	615716.000000	4213282.000000
44	611535.000000	4209869.000000
45	605054.000000	4208819.000000
46	602538.000000	4209748.000000
47	646512.000000	4186415.000000
48	646042.000000	4187278.000000
49	645365.000000	4187258.000000
50	644360.000000	4186950.000000
51	643030.000000	4187297.000000
52	642614.000000	4186990.000000
53	641664.000000	4185890.000000
54	640127.000000	4185552.000000
55	639206.000000	4186077.000000
56	639049.000000	4185163.000000
57	639020.000000	4184825.000000
58	637846.000000	4184453.000000
59	637060.000000	4184988.000000
60	635726.000000	4184947.000000
61	634811.000000	4184462.000000
62	634134.000000	4183454.000000
63	633406.000000	4182730.000000
64	632310.000000	4182656.000000
65	631433.000000	4183489.000000
66	629825.000000	4184423.000000
67	629143.000000	4185144.000000
68	628253.000000	4185717.000000
69	626938.000000	4186425.000000
70	627403.000000	4187216.000000
71	627400.000000	4187885.000000
72	627025.000000	4188795.000000
73	626758.000000	4189671.000000
74	626255.000000	4190863.000000
75	613085.000000	4208414.000000
76	625483.000000	4191892.000000
77	625086.000000	4193057.000000
78	625246.000000	4194330.000000
79	625997.000000	4195062.000000
80	625480.000000	4196091.000000
81	626225.000000	4197229.000000
82	626919.000000	4198102.000000
83	626792.000000	4199149.000000
84	626472.000000	4200171.000000
85	626090.000000	4200531.000000
86	626186.000000	4201672.000000
